::ffff:127.0.0.1 - - [24/Sep/2021:02:19:28 +0000] "GET /api/edu/files/get?module_id=56&module_name=%E8%AF%BE%E7%A8%8B&curPage=1 HTTP/1.1" 200 1173 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 Edg/93.0.961.52"
::ffff:127.0.0.1 - - [24/Sep/2021:02:36:49 +0000] "GET /api/edu/course/getUpStandDataOrNoUpstandData?studentId=11 HTTP/1.1" 200 5417 "https://servicewechat.com/wx387ebab0ad19eb10/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2108130 MicroMessenger/8.0.5 Language/zh_CN webview/"
::ffff:127.0.0.1 - - [24/Sep/2021:02:36:50 +0000] "GET /api/edu/course/getUpStandDataOrNoUpstandData?studentId=11 HTTP/1.1" 200 5417 "https://servicewechat.com/wx387ebab0ad19eb10/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2108130 MicroMessenger/8.0.5 Language/zh_CN webview/"
::ffff:127.0.0.1 - - [24/Sep/2021:02:36:50 +0000] "GET /api/edu/files/show/1628947283611-%E7%BB%9F%E8%AE%A1.png HTTP/1.1" 200 - "https://servicewechat.com/wx387ebab0ad19eb10/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2108130 MicroMessenger/8.0.5 Language/zh_CN webview/3 desktopapp miniprogram port/16005 token/1e2b7d12f700cc0fd9c75f802d00c951 runtime/2"
::ffff:127.0.0.1 - - [24/Sep/2021:02:36:55 +0000] "GET /api/edu/course/getUpStandDataOrNoUpstandData?studentId=11 HTTP/1.1" 200 5417 "https://servicewechat.com/wx387ebab0ad19eb10/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2108130 MicroMessenger/8.0.5 Language/zh_CN webview/"
::ffff:127.0.0.1 - - [24/Sep/2021:02:36:56 +0000] "GET /api/edu/course/detail?studentId=11&course_id=58&role=%E5%AE%B6%E9%95%BF HTTP/1.1" 200 779 "https://servicewechat.com/wx387ebab0ad19eb10/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2108130 MicroMessenger/8.0.5 Language/zh_CN webview/"
::ffff:127.0.0.1 - - [24/Sep/2021:02:37:07 +0000] "GET /api/edu/course/getUpStandDataOrNoUpstandData?studentId=11 HTTP/1.1" 200 5417 "https://servicewechat.com/wx387ebab0ad19eb10/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2108130 MicroMessenger/8.0.5 Language/zh_CN webview/"
::ffff:127.0.0.1 - - [24/Sep/2021:02:37:10 +0000] "GET /api/edu/course/getHomeWorkDetail?homeWorkId=60 HTTP/1.1" 200 847 "https://servicewechat.com/wx387ebab0ad19eb10/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2108130 MicroMessenger/8.0.5 Language/zh_CN webview/"
::ffff:127.0.0.1 - - [24/Sep/2021:02:37:17 +0000] "GET /api/edu/course/getUpStandDataOrNoUpstandData?studentId=11 HTTP/1.1" 200 5417 "https://servicewechat.com/wx387ebab0ad19eb10/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2108130 MicroMessenger/8.0.5 Language/zh_CN webview/"
::ffff:127.0.0.1 - - [24/Sep/2021:02:37:20 +0000] "GET /api/edu/course/getHomeWorkDetail?homeWorkId=57 HTTP/1.1" 200 1123 "https://servicewechat.com/wx387ebab0ad19eb10/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2108130 MicroMessenger/8.0.5 Language/zh_CN webview/"
